ID,Tier,Priority Rank,Company,Country,HQ,Website,Entity Type,Key Games / Publishing Cases,Strategic Fit (30),Investment/M&A Signal (25),Casual/Relevance (20),Funds/Publishing (15),Reachability (10),Total Score,Possible Deal Types,Best Entry / Department,Public Contact / Entrance,Contact URL,Recommended Angle,Evidence Note,Source 1,Source 2,Source 3,Source Count,Confidence,Next Step,Outreach Status,Last Verified,Owner,Notes,Company Scale,Representative Works,Public Contact Email,Email Note
KR-001,A,1,NCSOFT / NC,Korea,"Seongnam, Korea",https://about.ncsoft.com/en,Public publisher/developer; active strategic buyer,"Lineage, AION, Guild Wars 2; 2026 mobile casual center; acquisitions of Lihuhu/Springcomes/JustPlay disclosed",30,25,20,15,8,98,Acquisition; strategic investment; publishing partnership,Mobile Casual Center; Corporate Strategy; Corp Dev,"Official contact, LinkedIn corporate page, warm intro to Mobile Casual Center",https://about.ncsoft.com/en,Lead with verified US CPI/retention and Family Island-like casual adventure fit for their mobile casual ecosystem.,2026 strategy explicitly names mobile casual as growth pillar and says additional acquisitions/publishing partnerships will expand ecosystem.,https://about.ncsoft.com/en/news/article/news_update_260312,https://about.ncsoft.com/en/news/article/news_update_251222,https://about.ncsoft.com/en/news/article/news_update_260311,3,High,Send tailored teaser to corp strategy and Mobile Casual Center; ask for 30-minute fit call.,Not Started,2026-06-02,,,"2025年收入 KRW 1.51万亿，移动游戏收入 KRW 7,944亿；大型上市公司。",Lineage 系列、AION、Guild Wars 2、THRONE AND LIBERTY；移动休闲布局含 Lihuhu/Springcomes/JustPlay。,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://about.ncsoft.com/en
KR-002,A,2,KRAFTON,Korea,"Seongnam, Korea",https://www.krafton.com/en,Public publisher/holding company; strategic investor/acquirer,"PUBG, inZOI, Subnautica, Last Epoch; 2nd Party Publishing model; investments/acquisitions across studios and adtech",28,24,16,15,8,91,Strategic investment; 2PP publishing; acquisition; MG,HQ Global Publishing; Investment; New IP/2PP team,"Official contact, corporate LinkedIn, publishing/BD warm intro",https://www.krafton.com/en/contact/,Position as a validated external mobile project that can enter their scalable 2PP/IP discovery pipeline.,"2025 release states KRAFTON is building 13 new projects, targeted investments, and a scalable 2PP model.",https://krafton.com/en/news/press/krafton-achieve-record-high-revenue-in-the-first-half-of-2025/,https://www.krafton.com/en/news/press/krafton-acquires-eleventh-hour-games-creators-of-last-epoch/,https://www.krafton.com/en/ir/,3,High,Approach Global Publishing/2PP; include gameplay video and KPI one-pager.,Not Started,2026-06-02,,,2025年收入 KRW 3.3266万亿，营业利润 KRW 1.0544万亿；19个创意工作室网络。,PUBG: BATTLEGROUNDS、PUBG MOBILE、inZOI、Subnautica、Last Epoch。,biz@krafton.com; ask@krafton.com,官网 Contact Us 公开 Business/Others 邮箱；优先 biz@。
JP-003,A,3,Bandai Namco Entertainment / 021 Fund,Japan,"Tokyo, Japan",https://www.bandainamcoent.co.jp/english/,Publisher; CVC with game studio mandate,Bandai Namco mobile/console publishing; 021 Fund investment program; global publishing and marketing strength,27,23,15,14,9,88,Minority investment; publishing; strategic partnership; option to acquire,Bandai Namco 021 Fund; External Production/Publishing,021 Fund website/contact; corporate inquiry,https://021fund.bn-ent.net/en/,Frame as an externally developed game studio with a globally testable casual simulation title and potential new IP.,2025 021 Fund release says investment scope now includes domestic/overseas game studios and global publishing collaboration.,https://www.bandainamcoent.co.jp/pdfs/HP_20250611.pdf,https://021fund.bn-ent.net/en/,https://www.bandainamcoent.co.jp/english/,3,High,Submit to 021 Fund and parallel-route to mobile publishing BD.,Not Started,2026-06-02,,,Bandai Namco Entertainment 员工约841人（2025/04）；母集团员工约1.1万人级。,Dragon Ball、One Piece、Gundam、Tekken、Elden Ring 发行；021 Fund 面向外部娱乐/游戏创业公司。,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://021fund.bn-ent.net/en/
KR-004,A,4,Com2uS Holdings,Korea,"Seoul, Korea",https://holdings.com2us.com/en,Public holding/publisher; global publishing partner,Global publishing pipeline; Gamevil heritage; external developer publishing,24,20,18,14,9,85,Publishing; MG; strategic investment; regional/global launch,Publishing team; Corporate Strategy,Publishing proposal/contact form; corporate inquiry,https://holdings.com2us.com/en/about/game-business,Emphasize global mobile publishing fit and short path to soft-launch decision using US KPI proof.,Official publishing page says developers worldwide can partner with Com2uS Holdings; IR materials show global mobile pipeline.,https://global.com2us.com/holdings/company/publishing,https://holdings.com2us.com/en/about/game-business,https://holdings.com2us.com/en/ir,3,High,Use publishing doorway; ask for evaluation meeting and MG/investment appetite.,Not Started,2026-06-02,,,公开资料称累计游戏下载超过3亿次；上市移动游戏集团。,Gamevil/Com2uS Holdings 发行体系；外部开发者全球发行合作。,未公开商务邮箱,官网提供 Publishing/contact 入口；抓取到隐私邮箱，不建议用于BD。
JP-005,A,5,DeNA,Japan,"Tokyo, Japan",https://dena.com/intl/,Public mobile/internet company; strategic investor and game operator,Mobage; mobile games with partners; Strategic Investment Office portfolio,25,22,15,13,9,84,Strategic investment; publishing partnership; Japan/Asia distribution,Strategic Investment Office; Game Business,Strategic Investment Office page; corporate inquiry,https://dena.com/intl/services/invest.html,Pitch as entrepreneur-led mobile game team with validated US traction and Asia expansion optionality.,DeNA states it provides capital plus Asia gateway and operational support to entrepreneurs; services page confirms mobile game operations.,https://dena.com/intl/services/invest.html,https://dena.com/intl/services/,https://dena.com/intl/company/overview.html,3,High,"Send investor-style teaser first, then game business intro if interest is publishing-led.",Not Started,2026-06-02,,,上市互联网/游戏集团；资本金约103.97亿日元（2025/03），集团年收入百亿日元级。,Mobage、Pokémon Masters EX、FINAL FANTASY Record Keeper；Strategic Investment Office。,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://dena.com/intl/services/invest.html
KR-006,A,6,Com2uS,Korea,"Seoul, Korea",https://www.com2us.com/en,Public mobile game developer/publisher,Summoners War; MLB 9 Innings; mobile/PC pipeline; external publishing titles,23,19,18,14,8,82,Publishing; MG; co-development; strategic investment,Publishing; Business Development; Global Business,Corporate contact and publishing/business inquiry,https://www.com2us.com/en,Lead with high-retention US mobile simulation title that can use Com2uS global publishing and LiveOps.,Com2uS describes broad mobile game portfolio and 2025/2026 global pipeline includes publishing titles.,https://global.com2us.com/,https://www.com2us.com/file/download/2346,https://store.steampowered.com/publisher/Com2uS,3,High,Approach publishing team; include data deck and build link.,Not Started,2026-06-02,,,上市移动游戏公司；Summoners War 全球长线运营，集团年收入千亿韩元级。,Summoners War、MLB 9 Innings、Starseed、MiniGame Party。,publishing@com2us.com,Com2uS 韩文联系/Publishing 页面公开邮箱；适合发行提案。
JP-007,A,7,CyberAgent,Japan,"Tokyo, Japan",https://www.cyberagent.co.jp/en/,Public internet/media/game group,Cygames and SGE subsidiaries; large smartphone game structure; global expansion focus,23,18,17,14,7,79,Strategic partnership; publishing; investment; possible studio collaboration,Game Business / SGE; Investment or IP strategy,Corporate inquiry; IR/corporate page; warm intro to SGE,https://www.cyberagent.co.jp/en/contact/,Position as a US-validated casual adventure title that could fit their overseas mobile growth agenda.,Integrated report says CyberAgent has one of Japan's largest mobile game development structures and will focus on global expansion.,https://report.cyberagent.co.jp/en/game/,https://www.cyberagent.co.jp/en/news/detail/id=32862,https://www.cyberagent.co.jp/en/ir/,3,High,Route through SGE/Game Business; include concise user-acquisition proof.,Not Started,2026-06-02,,,"大型上市互联网/游戏集团；年销售额约8,000亿日元级，游戏子公司矩阵庞大。",Cygames/SGE 系手机游戏矩阵，代表包括 Uma Musume、Granblue Fantasy、Shadowverse。,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.cyberagent.co.jp/en/contact/
KR-008,A,8,Netmarble,Korea,"Seoul, Korea",https://company.netmarble.com/en,Public mobile publisher/developer; portfolio buyer,"MARVEL Future Fight, Seven Knights, Solo Leveling; parent of Kabam, SpinX, Jam City",22,20,15,15,7,79,Publishing; MG; strategic investment; acquisition if scale proven,Global Publishing; Corporate Development; Investment,"Corporate inquiry, LinkedIn, investor/newsroom contact",https://company.netmarble.com/en,Pitch as a validated US-tested mobile F2P title adjacent to their global mobile portfolio.,2025 results page describes Netmarble as leading developer/publisher and lists major subsidiaries/holdings.,https://ch.netmarble.com/Eng/Newsroom/Detail?bbs_code=1020&post_seq=6475&post_tag=NETMARBLE,https://company.netmarble.com/en/company/about,https://company.netmarble.com/en/ir,3,High,Approach global publishing and corp dev; stress modest MG/investment can unlock US scale.,Not Started,2026-06-02,,,大型上市移动发行商；2025年收入约KRW 2.7万亿级，旗下含 Kabam/SpinX/Jam City 等资产。,MARVEL Future Fight、Seven Knights、Solo Leveling: ARISE、Ni no Kuni: Cross Worlds。,netmarblebiz@netmarble.com,官网公开 business 邮箱。
JP-009,A,9,GREE Holdings / WFS,Japan,"Tokyo, Japan",https://gree.co.jp/jp/en/,Public game/IP/investment group; mobile/live-service operator,WFS live-service games; Pokelabo brand; GREE investment business,22,18,17,13,8,78,Publishing; strategic investment; Japan/Asia partnership,WFS live-service; GREE investment; business development,Corporate inquiry and WFS contact,https://www.wfs.games/en/contact/,Present as a mobile live-service title with proven Western acquisition metrics and expandable content cadence.,GREE business overview lists Game and Investment businesses; 2025 restructuring moved live service games into WFS.,https://gree.co.jp/jp/en/business/index.html,https://www.wfs.games/en/,https://www.gematsu.com/2024/11/gree-establishes-gree-studios-to-manage-consumer-games-business-live-service-games-business-absorbed-by-wfs,3,High,"Send to WFS/GREE BD; ask whether they prefer publishing, investment, or asset acquisition.",Not Started,2026-06-02,,,上市游戏/投资集团；年收入数百亿日元级，WFS/GREE Studios/Pokelabo 等子品牌。,Heaven Burns Red、Another Eden、Fishing Star、Magia Exedra/Pokelabo 相关项目。,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://www.wfs.games/en/contact/
JP-010,A,10,MIXI,Japan,"Tokyo, Japan",https://mixi.co.jp/en/,Public digital entertainment/investment company,Monster Strike; Digital Entertainment segment; investment business,21,18,15,14,8,76,Strategic investment; publishing; Japan co-operation; MG,Digital Entertainment; Investment,MIXI investment site; corporate inquiry,https://invest.mixi.co.jp/,"Pitch as a mobile F2P title with US proof, asking whether investment or publishing support fits their digital entertainment goals.",MIXI corporate profile lists Digital Entertainment and Investment; investment site shows active investing activity.,https://mixi.co.jp/en/company/profile/,https://mixi.co.jp/en/business/investment/,https://invest.mixi.co.jp/,3,High,Approach investment first; parallel outreach to digital entertainment BD.,Not Started,2026-06-02,,,上市数字娱乐集团；年收入千亿日元级，Monster Strike 为核心现金流。,Monster Strike、Kotodaman、TIPSTAR/数字娱乐业务。,未公开商务邮箱,未找到公开商务邮箱；建议使用官方联系入口：https://invest.mixi.co.jp/
