rank,tier,company,country,hq,website,company_scale,representative_works,contact_email,email_note,archetype,industry_position,family_island_fit,deal_types,best_entry,contact,score,next_step,source_1,source_2,source_3,source_4
1,A,Tilting Point,US,"New York, NY",https://www.tiltingpoint.com/,官网披露 portfolio 80+ titles；全球工作室覆盖 Montreal、New York、Barcelona；移动发行/UA Fund 型中上游玩家。,"Avatar: Realms Collide, SpongeBob: Krusty Cook-Off, Star Trek: Timelines, Cypher 007, Warhammer: Chaos & Conquest",hello@tiltingpoint.com; press@tiltingpoint.com,官网 Contact 页公开：商务/一般咨询用 hello@；媒体用 press@。,益世界式发行/增长伙伴,北美移动游戏发行服务商里最接近益世界画像的一类：不是平台巨头，但在外部项目发行、UA、LiveOps、IP合作和资金支持上有明确能力。,适合把项目包装为已在美国验证 CPI/留存的休闲冒险/模拟经营外部项目，先谈发行、UA funding、MG 或带投资条款的合作。,发行/MG；UA funding；战略投资；项目/团队收购讨论,Publishing / Business Development / Corporate Development,官网 contact / LinkedIn 公司页 / BD warm intro,92,第一波优先触达。邮件标题突出 US-tested、casual adventure/simulation、CPI & retention signals。,https://www.tiltingpoint.com/,https://www.tiltingpoint.com/services/,https://www.pocketgamer.biz/the-top-50-mobile-game-makers-of-2024/,https://www.tiltingpoint.com/contact/
2,A,Jam City,US,"Culver City, CA",https://www.jamcity.com/,"官网披露 $4B+ aggregate lifetime bookings、nearly 1.5B downloads；LinkedIn 显示约 501-1,000 人。","Cookie Jam, Panda Pop, Harry Potter: Hogwarts Mystery, Disney Emoji Blitz, Family Guy: The Quest for Stuff, Disney Magic Match 3D",pr@jamcity.com; privacy@jamcity.com,官网公开媒体邮箱 pr@；未找到公开 BD/Publishing 邮箱，商务建议 LinkedIn/warm intro 并行。,三七式研运发行公司,北美非平台型移动游戏开发发行商的中上游代表，强在休闲、IP、长线运营和移动端发行，不是 Scopely/Zynga 那种绝对巨头。,其 Cookie Jam、Panda Pop、Disney Emoji Blitz、Harry Potter 等产品线与休闲/轻中度移动用户重合度高。,发行合作；联合开发；项目收购；团队收购；少数股权投资可能性,Corporate Development / Publishing / Studio Leadership,官网 contact / LinkedIn / 洛杉矶游戏圈转介绍,88,作为三七互娱式对标重点触达，强调已验证美国市场和后续内容/LiveOps路线。,https://www.jamcity.com/,https://www.jamcity.com/games/,https://www.pocketgamer.biz/the-top-50-mobile-game-makers-of-2024/,https://www.jamcity.com/press
3,A,East Side Games Group,Canada,"Vancouver, BC",https://www.eastsidegamesgroup.com/,上市公司；2025 全年收入约 CAD 77.6M；公开资料显示约 120 人；Vancouver HQ。,"Trailer Park Boys: Greasy Money, RuPaul's Drag Race Superstar, Doctor Who: Lost in Time, Milk Farm Idle Tycoon, Bud Farm 系列",info@eastsidegamesgroup.com; ir@eastsidegamesgroup.com; jason@eastsidegamesgroup.com,官网 Contact 页公开 info/IR/M&A 邮箱；M&A 可优先 jason@。,三七/益世界混合型,加拿大上市移动游戏集团，体量低于北美头部巨头，但具备自研、发行、技术平台和并购整合经验，适合作为中上游买方。,偏长线 F2P、IP/品牌合作和休闲移动运营，对已验证数据的小团队项目有一定战略可读性。,发行；联合开发；战略投资；资产/团队收购,Publishing / Corporate Development / CEO office,官网 inquiry / investor relations / LinkedIn,86,第一波优先触达。用“中腰部移动游戏集团需要可运营项目”作为开场逻辑。,https://www.eastsidegamesgroup.com/,https://www.eastsidegamesgroup.com/games/,https://investors.eastsidegamesgroup.com/,https://eastsidegamesgroup.com/contact/
4,A,Lion Studios / Tripledot US portfolio,US / UK,"Palo Alto, CA / London",https://lionstudios.cc/,Lion Studios 官网披露已发布 140+ games，25+ games reached #1；Tripledot 2025 收购 AppLovin games business 后获得多个美国移动游戏资产。,"Love Balls, Mr Bullet, Happy Glass, Match 3D, Hexa Sort, Wordscapes/PeopleFun, Project Makeover/Magic Tavern",hello@lionstudios.cc; support@lionstudios.cc,Google Play 开发者页公开 hello@；官网主要使用 contact/publishing submission form。,益世界式移动发行/买量体系,Lion Studios 是北美移动发行和买量体系的重要玩家；Tripledot 2025 年收购 AppLovin 游戏业务后，组合里包含 Lion Studios、Machine Zone、PeopleFun、Magic Tavern 等美国资产。,适合谈移动休闲/混合休闲发行、买量扩张、项目收购或把团队并入更大的移动发行体系。,发行；UA/增长；项目收购；团队收购,Lion Studios publishing / Tripledot corporate development,Lion Studios submission / Tripledot contact / LinkedIn,85,第一波优先触达。注意总部不完全在北美，但北美发行与工作室资产高度相关。,https://lionstudios.cc/,https://www.applovin.com/blog/applovin-sells-apps-business-to-tripledot-studios/,https://www.businesswire.com/news/home/20250219750135/en/Tripledot-Studios-to-Acquire-AppLovins-Games-Business,https://lionstudios.cc/contact-us/
5,A,Griffin Gaming Partners,US,"Santa Monica, CA",https://griffingp.com/,官网披露 $1.5B under management；游戏专项 VC，投 seed 到 pre-IPO。,"投资/组合：Discord, AppLovin, Scopely, Second Dinner/Marvel Snap, Overwolf, Tactile, Spyke Games",contact@griffingp.com,官网底部公开 contact@；也有 Submit Your Game 入口。,纯游戏投资机构,北美最重要的游戏专项投资机构之一，适合在没有现金流但数据验证不错时作为财务投资/战略融资入口。,不负责发行，但可能投资团队、帮助接触发行商或参与并购/融资结构设计。,股权投资；桥接融资；战略投资转介；并购介绍,Investment team / partner network,官网 contact / partner LinkedIn / portfolio warm intro,84,与发行商并行触达，邮件要更像融资 teaser：团队、验证数据、资金缺口、里程碑和交易结构。,https://griffingp.com/,https://griffingp.com/portfolio/,https://www.gamesindustry.biz/griffin-gaming-partners-raises-750m-for-second-gaming-fund,
6,A,PLAYSTUDIOS,US,"Las Vegas, NV",https://www.playstudios.com/,纳斯达克上市公司；FY2025 revenue 约 $235.1M；playAWARDS 覆盖 17 个国家和四大洲合作伙伴。,"myVEGAS Slots, myVEGAS Bingo, MGM Slots Live, Tetris mobile, POP! Slots, Solitaire/Brainium portfolio",IR@playstudios.com; media@playstudios.com,IR 官网公开 IR@；SEC/新闻稿资料公开 media@。,移动休闲/社交游戏上市公司,美国上市移动游戏公司，规模不如 Zynga/Scopely，但在休闲、社交娱乐场景和并购上具备实操能力。,Family Island 类项目不是其最核心品类，但美国测试数据、休闲用户和长期活动运营可形成可评估机会。,战略投资；收购；发行/运营合作；IP/品牌合作,Corporate Development / Investor Relations / Business Development,官网 contact / IR contact / LinkedIn,82,第一波末或第二波开头触达。强调移动休闲、美国用户验证和可选交易结构。,https://www.playstudios.com/,https://ir.playstudios.com/,https://www.playstudios.com/games/,
7,A,HyperBeard,Mexico,"Mexico City, Mexico",https://hyperbeard.com/,墨西哥休闲移动游戏公司；公开资料常见为约 51-200 人级，全球休闲/cute portfolio。,"Adorable Home, Tsuki's Odyssey, KleptoCats, Pocket Love, My Dear Farm, Kuma Sushi Bar",publishing@hyperbeard.com; hola@hyperbeard.com; help@hyperbeard.com,官网 Contact 页公开 Publishing/Contact/Help 邮箱；发行合作优先 publishing@。,北美中腰部休闲移动发行/开发商,墨西哥移动游戏公司，强在可爱风格、休闲移动游戏和全球发行；虽不是美国公司，但属于北美且与休闲品类贴近。,如果项目美术和用户情绪更偏 cozy/cute，HyperBeard 的受众和发行审美可能有匹配。,发行；联合开发；项目合作；少数投资可能性,Publishing / Business Development,官网 contact / submissions / LinkedIn,81,第一波末触达。邮件里多放视觉风格、核心循环和美国测试学习。,https://hyperbeard.com/,https://hyperbeard.com/games/,https://www.pocketgamer.biz/the-top-50-mobile-game-makers-of-2024/,https://hyperbeard.com/contact-us/
8,A,BITKRAFT Ventures,US / Germany,"Denver, CO / Berlin",https://www.bitkraft.vc/,官网媒体资料披露 $1.05B AUM、6 funds、130+ portfolio companies。,"投资/组合：Inworld, Carry1st, Frost Giant, Immutable, Anzu, Theorycraft, Resolution Games",pitch@bitkraft.vc; investor-relations@bitkraft.vc; press@bitkraft.vc,官网 Contact 页公开 pitch@ 和 investor-relations@；融资项目优先 pitch@。,纯游戏投资机构,全球知名游戏与互动娱乐 VC，在北美有强投资触达；适合融资和买方转介。,不直接发行，但可评估游戏团队、产品数据和后续融资/并购路径。,股权投资；桥接融资；战略介绍,Investment team,官网 contact / partner LinkedIn / portfolio warm intro,80,作为融资并行线第一波触达，准备投资人版 KPI teaser。,https://www.bitkraft.vc/,https://www.bitkraft.vc/portfolio,https://www.bitkraft.vc/team,https://www.bitkraft.vc/contact/
9,B,Big Blue Bubble,Canada,"London, ON",https://www.bigbluebubble.com/,官网披露 100+ titles；My Singing Monsters franchise 100M+ downloads；EG7 体系，约 75 人级公开资料。,"My Singing Monsters, My Singing Monsters: Dawn of Fire, My Singing Monsters Composer, Power Chord, Foregone",contact@bigbluebubble.com; press@bigbluebubble.com,官网 business inquiries 使用 contact@；press kit 公开 press@。,移动休闲开发发行商,加拿大老牌独立移动/休闲游戏公司，代表作 My Singing Monsters，行业地位更像中腰部精品型而非大平台。,对休闲模拟、收集、养成和长线内容运营有可读性；收购能力未知，但适合询问合作/发行/转介绍。,发行合作；联合开发；战略合作；小规模投资可能性,Business Development / Studio leadership,官网 contact / LinkedIn,79,第二波触达。突出玩法循环、内容产能和可持续 LiveOps。,https://www.bigbluebubble.com/,https://www.bigbluebubble.com/games/,https://www.bigbluebubble.com/about/,https://www.bigbluebubble.com/home/contact/
10,B,MobilityWare,US,"Irvine, CA",https://www.mobilityware.com/,公开资料显示 101-250 人级；Solitaire/card/puzzle portfolio 累计 200M+ downloads。,"Solitaire, Spider Solitaire, FreeCell, MONOPOLY Solitaire, Pyramid Solitaire, Hearts, Mahjong",support@mobilityware.com,公开版权/支持页列 support@；未找到公开 BD 邮箱。,北美休闲移动游戏公司,美国休闲移动游戏老牌公司，强在 evergreen casual 与移动端运营；行业体量大概率低于 Jam City，但在休闲用户上有价值。,品类不完全相同，但美国休闲用户、低 CPI 和留存验证是共通语言。,发行合作；联合开发；项目评估；收购可能性低到中,Business Development / Studio leadership,官网 contact / LinkedIn,78,第二波触达。邮件要简洁，不要一开始就只谈收购。,https://www.mobilityware.com/,https://www.mobilityware.com/games/,https://www.mobilityware.com/about-us/,https://www.mobilityware.com/copyright/
