Rank,Tier,Score,Company,Country,Region,Website,Type,Representative works,Scale,Signal,Deals,Entry,Contact URL,Email,Email note,Angle,Next step,Confidence,Score breakdown,Sources
1,A,99,Savvy Games Group / Scopely,Saudi Arabia / US,Saudi / GCC,https://www.savvygames.com/,PIF 支持的全球游戏控股/收购平台；Scopely 为旗下移动发行实体,"MONOPOLY GO!, Stumble Guys, Star Trek Fleet Command, Pokemon GO/Niantic games",Savvy 2023 年以 49 亿美元收购 Scopely；Scopely 2025 年完成 Niantic 游戏业务 35 亿美元收购。,最强投资/收购信号；可谈项目/团队收购、战略投资或并入 Scopely mobile live-game 体系。,战略投资；项目/团队收购；Savvy/Scopely 发行或并入讨论,Savvy corporate development / strategic investments；Scopely partnerships；CEO office 暖介绍,https://www.savvygames.com/contact,未公开公司级邮箱（仅官方表单/公司页）,官网仅公开联系表单；建议表单 + LinkedIn + 共同投资人/顾问引荐。,包装为 US-tested mobile casual adventure/simulation asset，可补 Scopely 的 casual/social live game portfolio。,A1 首轮。准备 1 页 teaser、2 分钟 gameplay、KPI 区间和可选交易结构。,High,30 / 25 / 20 / 15 / 9,https://www.savvygames.com/ | https://www.savvygames.com/news/savvy-games-group-completes-acquisition-of-scopely | https://www.scopely.com/en/news/scopely-to-acquire-niantic-games-business-which-includes-pokemon-go-one-of-the-most-successful-mobile-games-of-all-time
2,A,96,Playtika,Israel,Israel,https://www.playtika.com/,上市移动游戏集团；活跃收购方,"Slotomania, Bingo Blitz, June's Journey/Wooga, Best Fiends/Seriously, Dice Dreams/SuperPlay","上市公司；约 3,000+ 人；2024 年宣布收购 SuperPlay，2025 年仍预留 bolt-on M&A 预算。",长期通过收购补充移动游戏组合，Wooga/Seriously/SuperPlay 与休闲冒险和社交玩法用户相邻。,项目/团队收购；战略投资；发行/LiveOps 合作,Corporate Development；M&A；Wooga / SuperPlay / Seriously 相关业务线,https://www.playtika.com/,ir@playtika.com,Playtika IR 官方页面公开 ir@playtika.com；用于请求转 corporate development / BD。,把 Family Island-like 的冒险、建造、长线活动与 Wooga/SuperPlay 的休闲长线运营能力连接。,A1 首轮。邮件主诉求放收购/战略投资，发行作为备选结构。,High,30 / 24 / 19 / 15 / 8,https://www.playtika.com/ | https://investors.playtika.com/ | https://investors.playtika.com/news-releases/news-release-details/playtika-enters-agreement-acquire-superplay-creator-hit-mobile/
3,A,93,Sandsoft Games / Stellar Gate,Saudi Arabia,Saudi / GCC,https://sandsoft.com/,"Saudi mobile-first developer, publisher and investor；NetEase JV 覆盖 MENA 发行","Sandsoft publishing portfolio, Stellar Gate JV, DC Heroes & Villains regional publishing signal",Riyadh HQ，另有 Barcelona、Helsinki、Shanghai；官方提供 UA、发行、投资、测试、共研和本地化支持。,区域发行最贴；官方写明欢迎已有 early promising metrics 的 hybrid casual mobile games 提交。,MENA/全球发行；战略投资；UA funding；共研/LiveOps,Publishing team；Investment / funding support；Stellar Gate route,https://sandsoft.com/publishing/,pr@sandsoft.com,官网 contact 页面公开 pr@sandsoft.com；BD 仍优先 publishing 表单和 LinkedIn 暖介绍。,直接引用其筛选语境：mature/已上线、mobile-first、hybrid/casual、已有 promising KPI。,A1 首轮。先走 publishing 表单，标题写 US-tested metrics + MENA scaling + flexible structure。,High,24 / 25 / 20 / 15 / 9,https://sandsoft.com/publishing/ | https://sandsoft.com/contact-us/ | https://ir.netease.com/node/14396
4,A,88,Moon Active,Israel,Israel,https://www.moonactive.com/,大型移动休闲/社交游戏公司；Family Island 所属集团,"Coin Master, Family Island, Travel Town","约 1,000+ 人；具备极强 UA、economy、LiveOps 能力。",产品相似度最高但竞争敏感；适合高层/暖介绍探索资产并购或团队吸收。,资产/团队收购；战略合作；高层交流,Founder/CEO office；Corporate / strategy；共同投资人暖介绍,https://www.moonactive.com/,未公开公司级邮箱（仅官方表单/公司页）,未找到公开公司级邮箱；竞争敏感目标建议只用暖介绍或顾问路线。,强调不是 clone，而是 US-tested adjacent simulation/adventure loop，可作为品类/团队/技术资产讨论。,A1 但只走暖介绍。NDA 前只给极简 teaser，不发 build 和精确 cohort。,High,22 / 25 / 20 / 15 / 6,https://www.moonactive.com/ | https://www.pocketgamer.biz/industry/moon-active/ | https://mobilegamer.biz/coin-master-maker-moon-active-set-to-add-two-more-soft-launches/
5,A,86,CrazyLabs / DECA / Embracer route,Israel / Germany / Sweden,Israel,https://www.crazylabs.com/,DECA/Embracer 体系内 mobile casual publisher,"Super Stylist, Phone Case DIY, Tie Dye, casual/hypercasual portfolio",大型 mobile casual publisher；Embracer 官方公告收购 CrazyLabs，DECA 负责 live games 运营。,发行适配高，集团路线可能支持资产或团队讨论；需验证 Embracer 重组后的审批口径。,发行/UA 测试；LiveOps 托管；资产/团队并入；共研,CrazyLabs publishing；DECA partner route；Embracer group route,https://www.crazylabs.com/publishing/,support@crazylabs.com,官网公开 support@；发行提案仍优先 publisher form。,用 CPI/留存区间说明项目已过概念阶段，问是否适合二次测试、发行或 DECA 托管/并购路径。,A2。分 CrazyLabs 和 DECA 两条线写，不只发集团总入口。,High,20 / 24 / 20 / 14 / 8,https://www.crazylabs.com/ | https://www.crazylabs.com/publishing/ | https://www.embracer.com/releases/embracer-enters-into-an-agreement-to-acquire-crazylabs/
6,A,86,Tamatem Games / Tamatem Plus,Jordan / UAE / Saudi Arabia,Jordan / Levant,https://tamatem.co/,Arabic-speaking MENA mobile publisher；发行、本地化、支付与分发平台,"VIP Baloot, Land of Heroes, Revenge of the Brave, Tamatem Plus",官方称 50+ released titles、100M+ downloads、1M MAU；JordanICT 口径 150M+ downloads。,区域发行最直接：Arabic localization、UA、distribution、monetization、community、whale management。,MENA 发行；本地化与支付；UA/LiveOps；少数投资或收入分成,Publishing / Tamatem Plus；CEO office；Business Development,https://tamatem.co/,未公开公司级邮箱（仅官方表单/公司页）,官网 footer 和第三方目录有 mailto 但当前页面显示脱敏；优先官网/LinkedIn/提交入口。,突出 US-tested metrics + Arabic market localization/payment potential。,A1/A2。准备 MENA 发行版 teaser：KPI 区间、Arabic localization readiness、支付/LiveOps 需求。,High,18 / 25 / 19 / 15 / 9,https://tamatem.co/about-us/ | https://www.linkedin.com/company/tamatem-inc- | https://jordanict.com/2023/company-profile/tamatem-games
7,A,84,Yalla Group / Yalla Game,United Arab Emirates,UAE / Gulf,https://www.yalla.com/,NYSE 上市 MENA social networking and gaming company,"Yalla Ludo, Yalla Baloot, 101 Okey Yalla, YallaChat, WeMuslim",NYSE:YALA；公开称为 MENA-based online social networking and gaming company。,区域玩家、社交游戏、支付和社群能力强；可谈投资、发行或资产合作。,战略投资；区域发行/运营；资产合作；社交化增长合作,Investor Relations；Yalla Game leadership；corporate strategy,https://ir.yalla.com/IR-Contacts,ir@yalla.com,IR 官方页面公开 ir@yalla.com；商务机会建议请求转 Yalla Game / corporate strategy。,把项目讲成可进入其 MENA social gaming ecosystem 的长线休闲冒险/经营产品。,A1/A2。先发 IR/strategy 版 teaser，询问是否可转到游戏业务负责人。,High,20 / 22 / 19 / 15 / 8,https://ir.yalla.com/Investor-FAQs | https://ir.yalla.com/IR-Contacts | https://www.pocketgamer.biz/the-top-30-mena-game-makers-of-2025/
8,A,82,Dream Games,Turkey,Turkey,https://dreamgames.com/,大型移动休闲游戏公司,"Royal Match, Royal Kingdom",土耳其头部 mobile casual 公司；Royal Match / Royal Kingdom 驱动全球休闲产品能力。,休闲用户、广告投放和长线运营模型高度相关；独立收购/外部发行意愿需高层验证。,战略投资；资产/团队讨论；共研；高层交流,Founder/leadership；strategy / product leadership,https://dreamgames.com/,info@dreamgames.com,官网公开 info@dreamgames.com；建议请求转 strategy/corp dev。,定位为与 Royal Match 不同但面向 casual female/cozy audience 的 validated simulation-adventure loop。,A2。高层短邮件优先，不要长篇 pitch。,High,17 / 24 / 20 / 14 / 7,https://dreamgames.com/ | https://dreamgames.com/games/ | https://www.linkedin.com/company/dream-games/
9,A,81,Impact46 Gaming Fund,Saudi Arabia,Regional investor,https://impact46.sa/,Saudi CMA-licensed asset manager；SAR 150M gaming fund,"Fahy, Starvania, Spoilz, Spekter, NJD, Game Cooks, Alpaka, Hypemasters portfolio signals",官网称 i46 Gaming Fund 为 SAR 150M，公开寻找 Saudi gaming founders；有多笔游戏工作室投资新闻。,游戏专项投资线强，且与 Sandsoft/Savvy 生态可形成转介绍价值。,股权投资；桥接融资；Saudi/MENA 生态转介绍,i46 Gaming Fund submission；investment team,https://impact46.sa/i46-gaming-fund/,info@impact46.sa,Impact46 Gaming Fund 页面公开 info@impact46.sa。,强调美国测试验证和下一阶段可通过 Saudi/MENA capital + publisher network 降低资金断点风险。,A1 并行融资线。邮件要更像融资 teaser，不要只谈发行。,High,24 / 18 / 14 / 15 / 10,https://impact46.sa/i46-gaming-fund/ | https://www.pocketgamer.biz/impact46-invests-67m-in-five-saudi-game-studios/ | https://thestartupscene.me/INVESTMENTS/Saudi-VC-Impact46-Invests-Over-6-6-Million-in-Five-Gaming-Studios
10,A,81,Merak Gaming Fund / Merak Capital,Saudi Arabia,Regional investor,https://merak.capital/,Saudi gaming fund；Seed-Series B；Exel Gaming Accelerator,"Merak Gaming Fund, Exel Gaming Accelerator；Fahy/Starvania/Sheba Joy 投资信号",官网称 Merak Gaming Fund 为 8000 万美元，支持 game development、publishing、gaming technology startups。,融资线强；可作为桥接/战略融资和 Saudi ecosystem route。,股权投资；桥接融资；Saudi setup/accelerator；后续发行介绍,Merak Gaming Fund application；investment team,https://merak.capital/contact,gaming@merak.capital; contact@merak.capital,Merak Gaming Fund 搜索摘录公开 gaming@merak.capital；官网 contact 页面公开 contact@merak.capital。,投资人版叙事：US test validation、现金缺口、下一轮里程碑、Saudi/MENA publishing option。,A1 并行融资线。准备投资人版 KPI teaser 和 12 个月资金计划。,High,24 / 18 / 14 / 15 / 10,https://merak.capital/about | https://merak.capital/venture-capital/ | https://merak.capital/contact
