标题,作者,赞同,原文链接,正文相关度分,严格小学相关度分,本地Markdown
需要在北京西城换个学区房吗？,鸿志万里,19,https://www.zhihu.com/question/405345260/answer/3509123738,910,525,output/zhihu_chaoyang/markdown/1255-需要在北京西城换个学区房吗？-3509123738.md
北京朝阳外国语学校小学部的入学条件是什么样的？,鸿志万里,0,https://www.zhihu.com/question/20971807/answer/33280781517,807,525,output/zhihu_chaoyang/markdown/211-北京朝阳外国语学校小学部的入学条件是什么样的？-33280781517.md
北京德胜学区还能买吗？,鸿志万里,0,https://www.zhihu.com/question/523268825/answer/1994131292825088432,374,282,output/zhihu_chaoyang/markdown/1332-北京德胜学区还能买吗？-1994131292825088432.md
现在想把望京的房子换到金融街，一方面是学区，另一方面也觉得金融街的泡沫比望京小。大家觉得怎么样？,鸿志万里,0,https://www.zhihu.com/question/51725493/answer/1994131487843443779,358,268,output/zhihu_chaoyang/markdown/1060-现在想把望京的房子换到金融街，一方面是学区，另一方面也觉得金融街的泡沫比望京小。大家觉得怎么样？-1994131487843443779.md
目前北京市小学排名前50名的都是那些学校？谢谢？,京房于哥,45,https://www.zhihu.com/question/493179545/answer/3043685735,270,259,output/zhihu_chaoyang/markdown/034-目前北京市小学排名前50名的都是那些学校？谢谢？-3043685735.md
在北京学区房真的那么重要吗？到底是家庭教育重要还是学校重要？北京郊区的孩子就没有考上985名校的吗？,三人行,317,https://www.zhihu.com/question/38406873/answer/2373585585,354,241,output/zhihu_chaoyang/markdown/1036-在北京学区房真的那么重要吗？到底是家庭教育重要还是学校重要？北京郊区的孩子就没有考上985名校的吗？-2373585585.md
未来10年的北京学区格局会发生怎样的变化？,三人行,618,https://www.zhihu.com/question/53144309/answer/2373591087,353,239,output/zhihu_chaoyang/markdown/1413-未来10年的北京学区格局会发生怎样的变化？-2373591087.md
北京海淀中小学教育质量差距到底有多大？,三人行,480,https://www.zhihu.com/question/339316462/answer/2485414146,352,238,output/zhihu_chaoyang/markdown/1365-北京海淀中小学教育质量差距到底有多大？-2485414146.md
北京首套房，海淀丰台朝阳如何选择？,三人行,192,https://www.zhihu.com/question/342789224/answer/2624375668,352,238,output/zhihu_chaoyang/markdown/1391-北京首套房，海淀丰台朝阳如何选择？-2624375668.md
2023年，你还会顶着压力在北京买房吗？,劝你别买房,206,https://www.zhihu.com/question/594166255/answer/2981061260,370,189,output/zhihu_chaoyang/markdown/1366-2023年，你还会顶着压力在北京买房吗？-2981061260.md
目前北京市小学排名前50名的都是那些学校？谢谢？,三人行,331,https://www.zhihu.com/question/493179545/answer/3168506958,295,181,output/zhihu_chaoyang/markdown/060-目前北京市小学排名前50名的都是那些学校？谢谢？-3168506958.md
怎样评价北京学区房多校划片、六年一名额新政？,帝呱呱星球,146,https://www.zhihu.com/question/392758408/answer/1218211931,270,176,output/zhihu_chaoyang/markdown/526-怎样评价北京学区房多校划片、六年一名额新政？-1218211931.md
随着出生人口大幅下降，北京未来的学区政策会如何发展？,三人行,5,https://www.zhihu.com/question/660746903/answer/3630196056,382,161,output/zhihu_chaoyang/markdown/953-随着出生人口大幅下降，北京未来的学区政策会如何发展？-3630196056.md
在北京买学区房，选择东城还是朝阳？,三人行,38,https://www.zhihu.com/question/442615235/answer/2458804983,252,160,output/zhihu_chaoyang/markdown/549-在北京买学区房，选择东城还是朝阳？-2458804983.md
现在北京学区房都在弱化的大前提下，学区房买还是不买？,冯先生失眠中,14,https://www.zhihu.com/question/310742721/answer/1318879408,190,158,output/zhihu_chaoyang/markdown/1084-现在北京学区房都在弱化的大前提下，学区房买还是不买？-1318879408.md
请问北京东西城，朝阳有哪些好的小学推荐？,三人行,7,https://www.zhihu.com/question/399400248/answer/3289648526,192,150,output/zhihu_chaoyang/markdown/121-请问北京东西城，朝阳有哪些好的小学推荐？-3289648526.md
北京买房首先考虑学区恳请大家赐教选择哪里？,城南大土豆,10,https://www.zhihu.com/question/327699720/answer/960173367,155,142,output/zhihu_chaoyang/markdown/101-北京买房首先考虑学区恳请大家赐教选择哪里？-960173367.md
东西城学区房(平房)你会考虑入手吗?,三人行,9,https://www.zhihu.com/question/615602224/answer/57076034491,187,138,output/zhihu_chaoyang/markdown/656-东西城学区房(平房)你会考虑入手吗-57076034491.md
孩子明年上小学，是在东城区上好，还是朝阳区呢？,三人行,3,https://www.zhihu.com/question/345436906/answer/3162537740,161,131,output/zhihu_chaoyang/markdown/124-孩子明年上小学，是在东城区上好，还是朝阳区呢？-3162537740.md
北京总价在450-500的学区房有推荐的吗？,三人行,7,https://www.zhihu.com/question/617725762/answer/71166150032,163,127,output/zhihu_chaoyang/markdown/314-北京总价在450-500的学区房有推荐的吗？-71166150032.md
现在北京学区房都在弱化的大前提下，学区房买还是不买？,通透教育Totaledu,23,https://www.zhihu.com/question/310742721/answer/2020702981,172,126,output/zhihu_chaoyang/markdown/761-现在北京学区房都在弱化的大前提下，学区房买还是不买？-2020702981.md
北京，想把望京的小三居卖掉换海淀学区房，求指点？,三人行,13,https://www.zhihu.com/question/54027525/answer/2726728572,200,119,output/zhihu_chaoyang/markdown/655-北京，想把望京的小三居卖掉换海淀学区房，求指点？-2726728572.md
学区房买北京西城东城，还是朝阳？,汤有为,20,https://www.zhihu.com/question/463574027/answer/2774277713,146,117,output/zhihu_chaoyang/markdown/035-学区房买北京西城东城，还是朝阳？-2774277713.md
没有北京户口，娃在北京上学有多难？,一个讲道理的泼妇,33,https://www.zhihu.com/question/588401683/answer/3018023775,225,113,output/zhihu_chaoyang/markdown/378-没有北京户口，娃在北京上学有多难？-3018023775.md
朝阳区的基础教育水平为何与海淀西城的差距越来越大？,三人行,0,https://www.zhihu.com/question/267045194/answer/112436823469,141,113,output/zhihu_chaoyang/markdown/553-朝阳区的基础教育水平为何与海淀西城的差距越来越大？-112436823469.md
朝阳区是怎么发展起来的？,白颐路观潮,469,https://www.zhihu.com/question/22076374/answer/2509371105,126,111,output/zhihu_chaoyang/markdown/310-朝阳区是怎么发展起来的？-2509371105.md
在北京买学区房大概价位在600左右，是选西城还是海淀，最近关注了中关村二小？,米粒妈,407,https://www.zhihu.com/question/66339173/answer/269073380,133,109,output/zhihu_chaoyang/markdown/598-在北京买学区房大概价位在600左右，是选西城还是海淀，最近关注了中关村二小？-269073380.md
北京哪些小学比较好？哪些小区属于「学区房」？,三人行,24,https://www.zhihu.com/question/57135540/answer/2675136931,177,107,output/zhihu_chaoyang/markdown/002-北京哪些小学比较好？哪些小区属于「学区房」？-2675136931.md
北京朝阳区小升初如何政策如何呢？求助热心网友?,京考升学圈,0,https://www.zhihu.com/question/517875546/answer/3217428137,329,105,output/zhihu_chaoyang/markdown/174-北京朝阳区小升初如何政策如何呢？求助热心网友-3217428137.md
北京西城德胜学区房还值得购买吗？,三人行,10,https://www.zhihu.com/question/594291824/answer/3593854312,149,103,output/zhihu_chaoyang/markdown/970-北京西城德胜学区房还值得购买吗？-3593854312.md
朝阳区在北京市是一种什么样的存在？,白颐路观潮,211,https://www.zhihu.com/question/31199698/answer/2509445511,116,101,output/zhihu_chaoyang/markdown/691-朝阳区在北京市是一种什么样的存在？-2509445511.md
在北京为什么非京籍幼升小那么难？,芥末堆,100,https://www.zhihu.com/question/30445372/answer/726079452,138,100,output/zhihu_chaoyang/markdown/548-在北京为什么非京籍幼升小那么难？-726079452.md
北京东城区小学排名有了解过的吗？说说哈？,北京叮当,8,https://www.zhihu.com/question/299581388/answer/3216352709,124,100,output/zhihu_chaoyang/markdown/542-北京东城区小学排名有了解过的吗？说说哈？-3216352709.md
今年北京学区房价如何？,章哥说买房,8,https://www.zhihu.com/question/484044550/answer/2560660803,127,98,output/zhihu_chaoyang/markdown/880-今年北京学区房价如何？-2560660803.md
在北京买学区房，选择东城还是朝阳？,西瓜姐教买房,8,https://www.zhihu.com/question/442615235/answer/3076271976,110,95,output/zhihu_chaoyang/markdown/796-在北京买学区房，选择东城还是朝阳？-3076271976.md
近期，北京市城六区均明确提出多校划片方式入学，学期房真的凉凉了吗。?,骑虎难下的左轮君,9,https://www.zhihu.com/question/393768289/answer/1217422995,185,93,output/zhihu_chaoyang/markdown/612-近期，北京市城六区均明确提出多校划片方式入学，学期房真的凉凉了吗。-1217422995.md
北京600万以内学区房推荐？,三人行,0,https://www.zhihu.com/question/527020276/answer/3597319273,140,92,output/zhihu_chaoyang/markdown/1123-北京600万以内学区房推荐？-3597319273.md
