"rank","tier","score","company","country","market","website","type","representative_works","scale","transaction_signal","score_breakdown","deal_types","contact_email","contact_note","contact_url","outreach_angle","next_step","confidence","source_1","source_2","source_3","source_4"
"1","A","91","Century Games","Singapore / China","Singapore hub, global","https://www.centurygames.com/","Global mobile F2P developer / publisher","Family Farm Adventure; Family Farm Seaside; Whiteout Survival","Official contact page lists Century Games Pte. Ltd. in Singapore, ACRA registration and company contact email.","Owns the closest direct comp, Family Farm Adventure, plus mature global mobile F2P publishing and live-ops muscle.","投资/收购信号 22 / 产品契合 25 / 发行/UA/LiveOps 20 / 战略协同 15 / 触达可行性 9","Strategic acquisition; Publishing + option; Minority investment","contact_us@centurygame.com","Official company contact email; use product/corp-dev subject, not privacy email.","https://www.centurygames.com/contact-us/","Lead with direct genre adjacency: farming-adventure US test KPIs, content cadence, and why the asset extends their Family Farm audience.","Wave 1: send teaser + metric ranges; ask for corp-dev/product-publishing review under NDA.","High","Century Games contact - https://www.centurygames.com/contact-us/","Century Games official site - https://www.centurygames.com/","Century Games games - https://www.centurygames.com/games/",""
"2","A","87","iCandy Interactive Group","Australia / Singapore / Malaysia / Indonesia","ANZ + SEA","https://www.icandy.io/","Game and animation studio group / strategic consolidator","Appxplore portfolio; Storms; Lemon Sky Studios; Froyo-linked portfolio","Official site describes one of the largest game and animation studio groups in ANZ and SEA with audience above 500M users globally.","Documented acquisition history: Storms, Lemon Sky and other studios; clear investor and general inquiry emails.","投资/收购信号 27 / 产品契合 18 / 发行/UA/LiveOps 18 / 战略协同 14 / 触达可行性 10","Acquisition; Strategic investment; Publishing partnership","info@icandy.io; ir@icandy.io","Use info@ for BD and ir@ for investment/corp-dev angle.","https://www.icandy.io/","Pitch as a KPI-validated mobile game asset that fits iCandy's mobile lineage and SEA consolidation history.","Wave 1: email iCandy and also Storms partnership team; attach one-page KPI teaser.","High","iCandy official site - https://www.icandy.io/","iCandy investor center - https://www.icandy.io/investor-center/","iCandy completes Storms acquisition - https://www.icandy.io/project/icandy-completes-storms-acquisition-positions-itself-in-the-centre-of-gaming-metaverse-and-nfts/","PocketGamer Lemon Sky acquisition - https://www.pocketgamer.biz/icandy-acquires-lemon-sky-studios-to-make-high-quality-metaverse-games/"
"3","A","86","Amanotes","Singapore / Vietnam","SEA-origin, global mobile","https://www.amanotes.com/","Mobile casual publisher / studio group","Magic Tiles 3; Tiles Hop; Duet Cats","Official site states 3.5B+ downloads, 70M+ MAU and Top 1 publisher from Southeast Asia.","Large SEA-origin mobile publisher with casual user acquisition, global hit-making and public company-level contact.","投资/收购信号 21 / 产品契合 20 / 发行/UA/LiveOps 20 / 战略协同 15 / 触达可行性 10","Strategic investment; Publishing; Acquisition discussion","hello@amanotes.com","Official Singapore office email.","https://www.amanotes.com/","Position as a broader casual-adventure asset with proven US CPI/retention that can diversify beyond music games while using Amanotes UA/data stack.","Wave 1: send founder note to hello@ and parallel LinkedIn to BD/product leadership.","High","Amanotes official site - https://www.amanotes.com/","Amanotes products - https://www.amanotes.com/products","Amanotes careers - https://www.careers.amanotes.com/",""
"4","A","83","NCSOFT / Indygo Group / Lihuhu route","Singapore / Vietnam / Korea","Singapore holding, Vietnam casual studio, global","https://www.ncsoft.com/en-us","Strategic acquirer with SEA casual-mobile hub","Lihuhu casual puzzle portfolio; Lineage mobile titles; Guild Wars franchise","Press reports say NCSOFT agreed to acquire 67% of Singapore-based Indygo Group, owner of Vietnam casual studio Lihuhu.","Fresh acquisition signal specifically targeting casual mobile expansion in Vietnam and Asia.","投资/收购信号 29 / 产品契合 17 / 发行/UA/LiveOps 18 / 战略协同 14 / 触达可行性 5","Acquisition; Strategic investment; Portfolio add-on","未公开公司级邮箱","Route through NCSOFT corporate/IR and seek intro to mobile casual center or Indygo/Lihuhu leadership.","https://kr.ncsoft.com/en/ir/irArchive/announcement.do","Frame as a casual-adventure add-on aligned with their 2025-2026 pivot into mobile casual and Vietnam/Singapore hub strategy.","Wave 1: target corp-dev/IR plus LinkedIn to NCSOFT casual/mobile leadership; prioritize warm intro.","Medium","PocketGamer.biz acquisition report - https://www.pocketgamer.biz/ncsoft-acquires-majority-stake-in-singapores-indygo-group-for-1038m/","Korea Biz Daily acquisition report - https://www.koreabizdaily.com/en-us/articles/854288","NCSOFT IR announcements - https://kr.ncsoft.com/en/ir/irArchive/announcement.do",""
"5","A","82","VNGGames / VNG Corporation","Vietnam","Vietnam, SEA expansion","https://vnggames.com/vn/en","Major game publisher / platform company","ZingPlay; Roblox Vietnam publishing; Riot titles in Vietnam","VNGGames describes itself as a leading Vietnam game publisher expanding internationally; LinkedIn shows 1,001-5,000 employees.","Vietnam's strongest local publishing platform and a credible acquirer/investor route through VNG Corp.","投资/收购信号 20 / 产品契合 19 / 发行/UA/LiveOps 20 / 战略协同 15 / 触达可行性 8","Vietnam/SEA publishing; Strategic investment; Acquisition route","未公开公司级邮箱","Use official partner page/contact form; avoid customer support tickets.","https://vnggames.com/vn/en/partner","Pitch as a Western-tested resource-management adventure that VNG can operate regionally and evaluate as a strategic mobile asset.","Wave 1: submit via partner page; seek warm intro to VNGGames BD or VNG Corp investment team.","High","VNGGames partner page - https://vnggames.com/vn/en/partner","VNG corporate site - https://vng.com.vn/index.html?lang=en","VNGGames LinkedIn - https://www.linkedin.com/company/vnggames-brand",""
"6","A","82","Potato Play","Singapore / China","Global mobile casual","https://www.potatoplay.com/","Mobile games publisher","Merge Restaurant; Merge Friends; Cluck Avengers","Official site says Singapore-based publisher turning mobile games from Asia into worldwide hits and 27M+ downloads.","Direct genre fit through merge and rebuild games; hands-on data-driven mobile publishing.","投资/收购信号 17 / 产品契合 24 / 发行/UA/LiveOps 20 / 战略协同 15 / 触达可行性 6","Publishing; Co-development; Revenue-share with option","support@potatoplay.com","Only public email found is support; use official connect route and ask to forward to publishing/BD.","https://www.potatoplay.com/","Lead with merge/resource-management overlap and US UA/retention proof; ask whether they review broader farm-adventure titles.","Wave 1: contact via site/email, then LinkedIn founders/publishing team.","High","Potato Play official site - https://www.potatoplay.com/","Potato Play games - https://www.potatoplay.com/","Play Ventures portfolio mentioning Potatoplay - https://www.play.vc/portfolio-2025",""
"7","A","80","Falcon Game Studio / OneSoft","Vietnam","Global mobile F2P","https://www.falcongames.com/","Mobile game developer / publisher","1945 Air Force; Galaxy Attack adjacent OneSoft portfolio; Hyper-casual and shooter portfolio","Falcon states 150+ staff, 10+ titles, 3B+ downloads and 500+ games launched.","Massive UA/publishing capability in Vietnam's global mobile ecosystem; relevant for KPI-driven deal talks.","投资/收购信号 18 / 产品契合 18 / 发行/UA/LiveOps 20 / 战略协同 14 / 触达可行性 10","Publishing; Strategic investment; Acquisition discussion","contact@falcongames.com","Official contact page email.","https://falcongames.com/contact/","Position as a Western-tested casual-adventure product that can benefit from OneSoft/Falcon's global UA scale.","Wave 1: email contact@ with KPI teaser and request publishing/investment owner.","High","Falcon about - https://www.falcongames.com/about/","Falcon contact - https://falcongames.com/contact/","OneSoft official site - https://onesoft.digital/",""
"8","A","80","Asphere Innovations / PlayPark","Thailand / Singapore / SEA","Thailand, Singapore, Malaysia, Philippines, Vietnam, Indonesia","https://asphere.co/en/online-games/","Regional online and mobile game publisher","PlayPark portfolio; MMORPG/casual/SRPG/FPS/MOBA services","Asphere states 20+ years, 180M+ registered IDs, 160+ games and 350+ SEA staff.","One of the clearest SEA regional publishing partners, with public BD and IR email.","投资/收购信号 18 / 产品契合 17 / 发行/UA/LiveOps 20 / 战略协同 15 / 触达可行性 10","SEA publishing; Strategic investment; Local operating partnership","business@asphere.co; ir@asphere.co","Official BD and IR contacts listed for Asphere/PlayPark entities.","https://asphere.co/en/contact/","Pitch regional publishing/localization plus possible investment after US KPI diligence.","Wave 1: email business@asphere.co; CC IR only if explicitly proposing investment/acquisition.","High","Asphere online games - https://asphere.co/en/online-games/","Asphere contact - https://asphere.co/en/contact/","Asphere company profile - https://investor.asphere.co/en/company-profile/general-information",""
"9","A","80","Funtap","Vietnam","Vietnam, global mobile","https://corp.funtap.vn/en","Mobile game publisher","Vietnam mobile publishing portfolio; Funverse ecosystem","Official site says Funtap is one of Vietnam's leading mobile game publishers, reaching 50M+ players worldwide.","Reported Series A investment led by Makers Fund; explicit business contact.","投资/收购信号 22 / 产品契合 17 / 发行/UA/LiveOps 18 / 战略协同 13 / 触达可行性 10","Publishing; Strategic investment; Vietnam market entry","biz@funtap.vn","Official business contact.","https://corp.funtap.vn/en","Lead with Vietnam/SEA operating route plus optional investment; keep US KPIs concise and ask for publishing/investment review.","Wave 1: email biz@funtap.vn with deck and NDA-ready metrics.","High","Funtap official site - https://corp.funtap.vn/en","Funtap about - https://corp.funtap.vn/en/about-us","Dealroom Funtap - https://app.dealroom.co/companies/funtap",""
"10","A","78","ABI Game Studio / Onesoft","Vietnam","Global mobile F2P","https://abigames.com.vn/","Mobile games publisher / studio","Wood Nuts & Bolts Puzzle; Galaxy Attack; Satisdom; Super Ball Adventure","Official site says 100+ employees, 150+ published titles and multiple games ranked top 1 in the US.","Very strong US-market KPI literacy and mobile publishing machinery; less obvious M&A signal than iCandy/NCSOFT.","投资/收购信号 16 / 产品契合 20 / 发行/UA/LiveOps 20 / 战略协同 14 / 触达可行性 8","Publishing; Co-development; Strategic investment","未公开公司级邮箱","Use official Submit your game / contact flow; avoid third-party lead databases.","https://abigames.com.vn/","Stress US test performance and retention benchmark; ABI already evaluates charting mobile titles.","Wave 1: submit build/video and KPI one-pager via official publishing entry.","High","ABI official site - https://abigames.com.vn/","Digital Turbine publisher spotlight - https://www.digitalturbine.com/blog/publisher-spotlight-abi-game-studio","OneSoft official site - https://onesoft.digital/",""
