标题,作者,赞同,原文链接,正文相关度分,严格小学相关度分,正文抓取状态,本地Markdown
广外学区和陶白学区哪个好？,三人行,12,https://www.zhihu.com/question/509053867/answer/2357694410,13674,14307,已抓取正文,output/zhihu_xicheng/markdown/883-广外学区和陶白学区哪个好？-2357694410.md
需要在北京西城换个学区房吗？,鸿志万里,19,https://www.zhihu.com/question/405345260/answer/3509123738,11636,13605,已抓取正文,output/zhihu_xicheng/markdown/175-需要在北京西城换个学区房吗？-3509123738.md
教育均衡化的前提下，西城学区的未来在哪里？,鸿志万里,25,https://www.zhihu.com/question/569979037/answer/3419749058,6588,7873,已抓取正文,output/zhihu_xicheng/markdown/193-教育均衡化的前提下，西城学区的未来在哪里？-3419749058.md
西城学区中有没有类似德胜片区的？,鸿志万里,2,https://www.zhihu.com/question/568563454/answer/33281876331,6089,6855,已抓取正文,output/zhihu_xicheng/markdown/114-西城学区中有没有类似德胜片区的？-33281876331.md
西城学区中有没有类似德胜片区的？,北京中弘安居大数据,0,https://www.zhihu.com/question/568563454/answer/1986120513270063877,6024,6795,已抓取正文,output/zhihu_xicheng/markdown/102-西城学区中有没有类似德胜片区的？-1986120513270063877.md
25年上学西城德胜学区房还能买吗？,北京中弘安居大数据,0,https://www.zhihu.com/question/614690690/answer/1986113546564698780,5626,6377,已抓取正文,output/zhihu_xicheng/markdown/183-25年上学西城德胜学区房还能买吗？-1986113546564698780.md
北京德胜学区还能买吗？,鸿志万里,0,https://www.zhihu.com/question/523268825/answer/1994131292825088432,5405,6309,已抓取正文,output/zhihu_xicheng/markdown/332-北京德胜学区还能买吗？-1994131292825088432.md
2025西城小升初全区派位？,三人行,4,https://www.zhihu.com/question/1907810897801516129/answer/1923314876203401227,5491,6298,已抓取正文,output/zhihu_xicheng/markdown/343-2025西城小升初全区派位？-1923314876203401227.md
西城学区还有未来吗？应该怎么选？,北京中弘安居大数据,0,https://www.zhihu.com/question/547102253/answer/1986108780438647674,5358,6227,已抓取正文,output/zhihu_xicheng/markdown/139-西城学区还有未来吗？应该怎么选？-1986108780438647674.md
北京西城集体户，考虑买房，500左右，想问各路大神，是买个西城小房还是买个丰台两居呢？,劝你别买房,27,https://www.zhihu.com/question/306895567/answer/3111151475,4745,6000,已抓取正文,output/zhihu_xicheng/markdown/275-北京西城集体户，考虑买房，500左右，想问各路大神，是买个西城小房还是买个丰台两居呢？-3111151475.md
教育均衡化的前提下，西城学区的未来在哪里？,三人行,63,https://www.zhihu.com/question/569979037/answer/2782913545,5235,5963,已抓取正文,output/zhihu_xicheng/markdown/310-教育均衡化的前提下，西城学区的未来在哪里？-2782913545.md
北京买老破小的西城学区房呢还是丰台面积大一点的房子？,三人行,28,https://www.zhihu.com/question/270851967/answer/2619418773,5239,5957,已抓取正文,output/zhihu_xicheng/markdown/142-北京买老破小的西城学区房呢还是丰台面积大一点的房子？-2619418773.md
学区房买北京西城东城，还是朝阳？,三人行,55,https://www.zhihu.com/question/463574027/answer/2328855991,5181,5880,已抓取正文,output/zhihu_xicheng/markdown/063-学区房买北京西城东城，还是朝阳？-2328855991.md
北京西城区小升初派位广内牛街学校分析?,三人行,31,https://www.zhihu.com/question/30368925/answer/2430863379,5163,5853,已抓取正文,output/zhihu_xicheng/markdown/001-北京西城区小升初派位广内牛街学校分析-2430863379.md
北京学区房，东城or西城？,三人行,45,https://www.zhihu.com/question/488418020/answer/2337905145,5123,5839,已抓取正文,output/zhihu_xicheng/markdown/173-北京学区房，东城or西城？-2337905145.md
介绍一下北京市西城区的学区？,北京中弘安居大数据,1,https://www.zhihu.com/question/455372815/answer/1986096610581697046,4859,5815,已抓取正文,output/zhihu_xicheng/markdown/036-介绍一下北京市西城区的学区？-1986096610581697046.md
北京市西城区取消学区房会造成什么影响？,三人行,3,https://www.zhihu.com/question/470234814/answer/2326271694,5119,5809,已抓取正文,output/zhihu_xicheng/markdown/043-北京市西城区取消学区房会造成什么影响？-2326271694.md
学区房惨烈杀价你怎么看？,三人行,19,https://www.zhihu.com/question/480639692/answer/2642764349,5119,5807,已抓取正文,output/zhihu_xicheng/markdown/403-学区房惨烈杀价你怎么看？-2642764349.md
北京西城学区的老破小好，还是昌平区的别墅好？,三人行,22,https://www.zhihu.com/question/327484117/answer/2422508073,5093,5781,已抓取正文,output/zhihu_xicheng/markdown/277-北京西城学区的老破小好，还是昌平区的别墅好？-2422508073.md
该买西城海淀老破小还是郊区远大新?,三人行,22,https://www.zhihu.com/question/439292016/answer/2386020962,5090,5776,已抓取正文,output/zhihu_xicheng/markdown/355-该买西城海淀老破小还是郊区远大新-2386020962.md
新学区新政下，丰台北大地和西城广安门外，哪个是更好的选择。孩子明年上小学，进入倒逼状态，怕高位接盘。?,三人行,7,https://www.zhihu.com/question/486585233/answer/2619403995,5090,5769,已抓取正文,output/zhihu_xicheng/markdown/050-新学区新政下，丰台北大地和西城广安门外，哪个是更好的选择。孩子明年上小学，进入倒逼状态，怕高位接盘。-2619403995.md
