标题,作者,赞同,评论,创建时间,更新时间,原文链接,命中关键词,正文相关度分,本地Markdown
孩子26年上学，现在适合买东城的房子吗？,鸿志万里,4,0,2024-02-02 17:02:29 CST,2024-02-02 17:02:29 CST,https://www.zhihu.com/question/473962311/answer/3384971123,东城 一派 二派 三派 | 东城 买房 上学 | 东城 入学政策 | 东城 多校划片 | 东城 幼升小 | 东城区 义务教育 入学,1645,output/zhihu_dongcheng/markdown/070-孩子26年上学，现在适合买东城的房子吗？-3384971123.md
北京西城广牛学区，还是东城安交学区/和平里学区？,三人行,4,0,2024-09-02 10:18:04 CST,2024-09-02 10:18:04 CST,https://www.zhihu.com/question/629266672/answer/3613204790,东城 入学政策 | 东城 多校划片 | 东城 派位 | 东城区 义务教育 入学 | 东城区 入学政策 | 东城区 全区派位,1042,output/zhihu_dongcheng/markdown/087-北京西城广牛学区，还是东城安交学区-和平里学区？-3613204790.md
总价600万以内，可以选海淀与东城哪些学区？如果可以的话，最好还能兼顾自住？,鸿志万里,6,0,2024-11-17 01:00:56 CST,2024-11-17 01:00:56 CST,https://www.zhihu.com/question/463277685/answer/33280546009,东城 一派 二派 三派 | 东城 东四 朝阳门 建国门 | 东城 入学政策 | 东城 史家 | 东城 多校划片 | 东城 天坛 永定门,715,output/zhihu_dongcheng/markdown/030-总价600万以内，可以选海淀与东城哪些学区？如果可以的话，最好还能兼顾自住？-33280546009.md
2025西城小升初全区派位？,三人行,4,0,2025-07-01 09:39:59 CST,2025-07-01 09:39:59 CST,https://www.zhihu.com/question/1907810897801516129/answer/1923314876203401227,东城 景东,553,output/zhihu_dongcheng/markdown/505-2025西城小升初全区派位？-1923314876203401227.md
2028年幼升小，北京东城区和平里学区和西城区陶白学区怎么选？,三人行,5,0,2023-01-17 22:39:09 CST,2023-01-17 22:39:09 CST,https://www.zhihu.com/question/556040068/answer/2850017110,东城 171 | 东城 171中学 | 东城 一派 二派 三派 | 东城 东崇前 | 东城 买房 上学 | 东城 分司厅,549,output/zhihu_dongcheng/markdown/009-2028年幼升小，北京东城区和平里学区和西城区陶白学区怎么选？-2850017110.md
2023年，你还会顶着压力在北京买房吗？,劝你别买房,206,21,2023-04-13 00:08:33 CST,2023-06-12 22:58:51 CST,https://www.zhihu.com/question/594166255/answer/2981061260,东城 731 | 东城 北东 | 东城 多校划片 | 东城区 731 | 东城区 景东 | 东城学区,524,output/zhihu_dongcheng/markdown/167-2023年，你还会顶着压力在北京买房吗？-2981061260.md
北京东城、西城、海淀、去哪所小学比较好？,三人行,10,0,2024-08-14 07:58:53 CST,2024-08-14 07:58:53 CST,https://www.zhihu.com/question/648926968/answer/3593715209,东城 东直门中学 | 东城 多校划片 | 东城 安定门 交道口 | 东城 小学 | 东城 幼升小 | 东城 文汇中学,512,output/zhihu_dongcheng/markdown/052-北京东城、西城、海淀、去哪所小学比较好？-3593715209.md
学区房买北京西城东城，还是朝阳？,三人行,55,0,2022-01-29 08:59:20 CST,2022-11-24 13:35:18 CST,https://www.zhihu.com/question/463574027/answer/2328855991,东城 731 | 东城区 景东,472,output/zhihu_dongcheng/markdown/336-学区房买北京西城东城，还是朝阳？-2328855991.md
北京学区房，东城or西城？,三人行,45,12,2022-02-07 14:52:29 CST,2022-11-25 18:05:13 CST,https://www.zhihu.com/question/488418020/answer/2337905145,东城 731 | 东城 买房 上学 | 东城 校额到校 | 东城 西城 学区 | 东城区 731 | 东城区 景东,470,output/zhihu_dongcheng/markdown/107-北京学区房，东城or西城？-2337905145.md
未来10年的北京学区格局会发生怎样的变化？,三人行,618,4,2022-03-04 12:14:21 CST,2023-10-19 14:32:43 CST,https://www.zhihu.com/question/53144309/answer/2373591087,北京学区 东城 西城 海淀,463,output/zhihu_dongcheng/markdown/682-未来10年的北京学区格局会发生怎样的变化？-2373591087.md
