公司名,公司邮箱,邮件的name字段,公司体量,代表作品,为什么值得找
Tilting Point,hello@tiltingpoint.com; press@tiltingpoint.com,Tilting Point Publishing Team,官网披露 portfolio 80+ titles；全球工作室覆盖 Montreal、New York、Barcelona；移动发行/UA Fund 型中上游玩家。,"Avatar: Realms Collide, SpongeBob: Krusty Cook-Off, Star Trek: Timelines, Cypher 007, Warhammer: Chaos & Conquest","北美移动游戏发行服务商里最接近益世界画像的一类：不是平台巨头，但在外部项目发行、UA、LiveOps、IP合作和资金支持上有明确能力。
适合把项目包装为已在美国验证 CPI/留存的休闲冒险/模拟经营外部项目，先谈发行、UA funding、MG 或带投资条款的合作。
可谈方向：发行/MG；UA funding；战略投资；项目/团队收购讨论
建议：第一波优先触达。邮件标题突出 US-tested、casual adventure/simulation、CPI & retention signals。"
Jam City,pr@jamcity.com; privacy@jamcity.com,Jam City Corporate Development Team,"官网披露 $4B+ aggregate lifetime bookings、nearly 1.5B downloads；LinkedIn 显示约 501-1,000 人。","Cookie Jam, Panda Pop, Harry Potter: Hogwarts Mystery, Disney Emoji Blitz, Family Guy: The Quest for Stuff, Disney Magic Match 3D","北美非平台型移动游戏开发发行商的中上游代表，强在休闲、IP、长线运营和移动端发行，不是 Scopely/Zynga 那种绝对巨头。
其 Cookie Jam、Panda Pop、Disney Emoji Blitz、Harry Potter 等产品线与休闲/轻中度移动用户重合度高。
可谈方向：发行合作；联合开发；项目收购；团队收购；少数股权投资可能性
建议：作为三七互娱式对标重点触达，强调已验证美国市场和后续内容/LiveOps路线。"
East Side Games Group,info@eastsidegamesgroup.com; ir@eastsidegamesgroup.com; jason@eastsidegamesgroup.com,East Side Games Group Publishing Team,上市公司；2025 全年收入约 CAD 77.6M；公开资料显示约 120 人；Vancouver HQ。,"Trailer Park Boys: Greasy Money, RuPaul's Drag Race Superstar, Doctor Who: Lost in Time, Milk Farm Idle Tycoon, Bud Farm 系列","加拿大上市移动游戏集团，体量低于北美头部巨头，但具备自研、发行、技术平台和并购整合经验，适合作为中上游买方。
偏长线 F2P、IP/品牌合作和休闲移动运营，对已验证数据的小团队项目有一定战略可读性。
可谈方向：发行；联合开发；战略投资；资产/团队收购
建议：第一波优先触达。用“中腰部移动游戏集团需要可运营项目”作为开场逻辑。"
Lion Studios / Tripledot US portfolio,hello@lionstudios.cc; support@lionstudios.cc,Lion Studios Publishing Team,Lion Studios 官网披露已发布 140+ games，25+ games reached #1；Tripledot 2025 收购 AppLovin games business 后获得多个美国移动游戏资产。,"Love Balls, Mr Bullet, Happy Glass, Match 3D, Hexa Sort, Wordscapes/PeopleFun, Project Makeover/Magic Tavern","Lion Studios 是北美移动发行和买量体系的重要玩家；Tripledot 2025 年收购 AppLovin 游戏业务后，组合里包含 Lion Studios、Machine Zone、PeopleFun、Magic Tavern 等美国资产。
适合谈移动休闲/混合休闲发行、买量扩张、项目收购或把团队并入更大的移动发行体系。
可谈方向：发行；UA/增长；项目收购；团队收购
建议：第一波优先触达。注意总部不完全在北美，但北美发行与工作室资产高度相关。"
Griffin Gaming Partners,contact@griffingp.com,Griffin Gaming Partners Investment Team,官网披露 $1.5B under management；游戏专项 VC，投 seed 到 pre-IPO。,"投资/组合：Discord, AppLovin, Scopely, Second Dinner/Marvel Snap, Overwolf, Tactile, Spyke Games","北美最重要的游戏专项投资机构之一，适合在没有现金流但数据验证不错时作为财务投资/战略融资入口。
不负责发行，但可能投资团队、帮助接触发行商或参与并购/融资结构设计。
可谈方向：股权投资；桥接融资；战略投资转介；并购介绍
建议：与发行商并行触达，邮件要更像融资 teaser：团队、验证数据、资金缺口、里程碑和交易结构。"
PLAYSTUDIOS,IR@playstudios.com; media@playstudios.com,PLAYSTUDIOS Corporate Development Team,纳斯达克上市公司；FY2025 revenue 约 $235.1M；playAWARDS 覆盖 17 个国家和四大洲合作伙伴。,"myVEGAS Slots, myVEGAS Bingo, MGM Slots Live, Tetris mobile, POP! Slots, Solitaire/Brainium portfolio","美国上市移动游戏公司，规模不如 Zynga/Scopely，但在休闲、社交娱乐场景和并购上具备实操能力。
Family Island 类项目不是其最核心品类，但美国测试数据、休闲用户和长期活动运营可形成可评估机会。
可谈方向：战略投资；收购；发行/运营合作；IP/品牌合作
建议：第一波末或第二波开头触达。强调移动休闲、美国用户验证和可选交易结构。"
HyperBeard,publishing@hyperbeard.com; hola@hyperbeard.com; help@hyperbeard.com,HyperBeard Publishing Team,墨西哥休闲移动游戏公司；公开资料常见为约 51-200 人级，全球休闲/cute portfolio。,"Adorable Home, Tsuki's Odyssey, KleptoCats, Pocket Love, My Dear Farm, Kuma Sushi Bar","墨西哥移动游戏公司，强在可爱风格、休闲移动游戏和全球发行；虽不是美国公司，但属于北美且与休闲品类贴近。
如果项目美术和用户情绪更偏 cozy/cute，HyperBeard 的受众和发行审美可能有匹配。
可谈方向：发行；联合开发；项目合作；少数投资可能性
建议：第一波末触达。邮件里多放视觉风格、核心循环和美国测试学习。"
BITKRAFT Ventures,pitch@bitkraft.vc; investor-relations@bitkraft.vc; press@bitkraft.vc,BITKRAFT Investment Team,官网媒体资料披露 $1.05B AUM、6 funds、130+ portfolio companies。,"投资/组合：Inworld, Carry1st, Frost Giant, Immutable, Anzu, Theorycraft, Resolution Games","全球知名游戏与互动娱乐 VC，在北美有强投资触达；适合融资和买方转介。
不直接发行，但可评估游戏团队、产品数据和后续融资/并购路径。
可谈方向：股权投资；桥接融资；战略介绍
建议：作为融资并行线第一波触达，准备投资人版 KPI teaser。"
Big Blue Bubble,contact@bigbluebubble.com; press@bigbluebubble.com,Big Blue Bubble Business Development Team,官网披露 100+ titles；My Singing Monsters franchise 100M+ downloads；EG7 体系，约 75 人级公开资料。,"My Singing Monsters, My Singing Monsters: Dawn of Fire, My Singing Monsters Composer, Power Chord, Foregone","加拿大老牌独立移动/休闲游戏公司，代表作 My Singing Monsters，行业地位更像中腰部精品型而非大平台。
对休闲模拟、收集、养成和长线内容运营有可读性；收购能力未知，但适合询问合作/发行/转介绍。
可谈方向：发行合作；联合开发；战略合作；小规模投资可能性
建议：第二波触达。突出玩法循环、内容产能和可持续 LiveOps。"
MobilityWare,support@mobilityware.com,MobilityWare Business Development Team,公开资料显示 101-250 人级；Solitaire/card/puzzle portfolio 累计 200M+ downloads。,"Solitaire, Spider Solitaire, FreeCell, MONOPOLY Solitaire, Pyramid Solitaire, Hearts, Mahjong","美国休闲移动游戏老牌公司，强在 evergreen casual 与移动端运营；行业体量大概率低于 Jam City，但在休闲用户上有价值。
品类不完全相同，但美国休闲用户、低 CPI 和留存验证是共通语言。
可谈方向：发行合作；联合开发；项目评估；收购可能性低到中
建议：第二波触达。邮件要简洁，不要一开始就只谈收购。"
Big Fish Games / BFG Entertainment,premiumsubmissions@bigfishgames.com; support via Zendesk form,Big Fish Games Publishing Team,老牌休闲游戏公司；公开资料显示约 350 人级；历史累计 1B+ game downloads。,"EverMerge, Gummy Drop!, Fairway Solitaire, Mystery Case Files, Midnight Castle, Cooking Craze","曾是北美休闲游戏发行和分发的重要公司；当前战略状态需谨慎核验，但其休闲用户和发行历史与本项目相关。
Family Island 类项目可从休闲冒险、模拟经营、长期内容和女性/家庭向用户角度切入。
可谈方向：发行；分发；资产合作；收购可能性不确定
建议：第二波触达。先确认当前是否仍评估外部移动项目。"
Makers Fund,info@makersfund.com,Makers Fund Investment Team,"全球 games/interactive entertainment VC；公开 portfolio 覆盖 Dream Games, TrailMix, Theorycraft 等。","投资/组合：Dream Games/Royal Match, Theorycraft, TrailMix/Love & Pies, FRVR, Mainframe, Mino Games","游戏和互动娱乐专项基金，适合早中期游戏公司融资和并购路径讨论。
可评估已验证美国测试数据的移动游戏团队，但不会替代发行商。
可谈方向：股权投资；桥接融资；战略转介
建议：第二波投资线触达。准备融资版 teaser 和 12 个月里程碑预算。"
TapBlaze,pizza@tapblaze.com,TapBlaze Business Development Team,"洛杉矶小到中型休闲模拟工作室；Good Pizza, Great Pizza 跨 iOS/Android/Steam/Switch，多平台长线运营。","Good Pizza, Great Pizza; Good Coffee, Great Coffee; Homecraft; My Pizza Shop 系列","美国小到中型移动休闲工作室，代表作 Good Pizza, Great Pizza；不一定是买方，但品类经验非常贴近。
餐厅模拟和 cozy 休闲运营与 Family Island 类用户存在重合，适合谈合作、发行建议或小规模战略合作。
可谈方向：联合开发；发行建议；小规模合作；收购可能性低
建议：第二波触达。更像合作伙伴或行业转介绍，不要把收购诉求放得太重。"
Konvoy,未找到公开通用投资邮箱；使用官网 contact/newsletter form 和合伙人 LinkedIn,Konvoy Investment Team,美国游戏专项 VC；公开基金信息显示 Fund III $150M，游戏/平台/基础设施投资网络。,"投资/组合：Axie Infinity/Sky Mavis, Ready Player Me, Genopets, Carry1st, Metafy, Windwalk","美国游戏专项 VC，关注游戏、平台和相关技术，适合作为融资与买方网络入口。
对产品 KPI、团队效率和市场验证敏感，能帮助判断项目是否达到融资门槛。
可谈方向：股权投资；桥接融资；买方/发行商介绍
建议：第二波投资线触达。把现金流缺口表述为明确 runway 与里程碑，而不是危机叙事。"
Storm8 / Stillfront,publishing@storm8.com; businessdevelopment@storm8.com; ua@storm8.com; pr@storm8.com,Storm8 / Stillfront Corporate Development Team,Storm8 为 Stillfront 旗下美国移动游戏工作室；历史累计 1B+ downloads 级别公开说法。,"Restaurant Story, Dragon Story, Property Brothers Home Design, Home Design Makeover, Castle Story, Bubble Mania","美国移动游戏老牌工作室，现属 Stillfront；曾在休闲、社交和女性向移动用户上有较强经验。
品类和用户画像有相关性，但决策链可能在母集团，外部收购/发行意愿需确认。
可谈方向：发行/运营合作；资产收购；集团层面投资/并购
建议：第二波触达，同时抄送或并行找 Stillfront 投资并购入口。"
Kabam,press@kabam.com; media@kabam.com; contact@kabam.com,Kabam Business Development Team,Netmarble 旗下北美 F2P 工作室；Marvel Contest of Champions 为十亿美元级长线产品。,"Marvel Contest of Champions, Shop Titans, King Arthur: Legends Rise, Disney Mirrorverse, Transformers: Forged to Fight","北美移动 F2P 和 IP 改编强公司，产品集中在中重度和授权 IP，行业地位高于一般中腰部发行商。
玩法不完全贴合，但其 F2P 长线运营、IP、买量和集团资源值得作为战略买方备选。
可谈方向：战略合作；项目/团队收购；发行可能性中低
建议：第二波或第三波触达。更强调 F2P 运营和美国测试，而不是 cozy 模拟品类。"
Transcend Fund,pitch@transcend.fund; info@transcend.fund,Transcend Fund Investment Team,2020 年成立的游戏/数字娱乐早期基金；LinkedIn 显示 2-10 人；合伙人具备 70+ years operator experience。,"投资/组合：Gardens, Fuse Games, Odyssey Interactive, Elodie Games, Theorycraft-related networks","专注游戏和数字娱乐的投资基金，适合对接早期到成长期游戏团队。
可作为融资和买方转介入口，尤其当发行合作短期难落地时。
可谈方向：股权投资；战略转介；桥接融资
建议：第二波投资线触达。强调美国市场测试、低成本验证和资金用途。"
Fortis Games,未找到公开通用邮箱；使用 Fortis/Savvy 官网 contact form 和 LinkedIn,Fortis Games Team,Savvy Games Group 旗下全球游戏工作室网络；公开招聘/销售资料显示约 251-500 人级。,暂无已大规模发布旗舰产品；团队来自 Zynga/WB/EA 等，主打 original social games pipeline。,"Savvy Games Group 旗下全球工作室网络，北美有重心，资金背景强，但不是传统第三方移动发行商。
适合尝试团队并入、联合开发或项目收购讨论；是否接受外部项目需要确认。
可谈方向：团队收购；联合开发；项目合作；战略投资可能性
建议：第二波末触达。重点问是否评估外部移动项目或团队并入机会。"
a16z Games,未找到公开 games 专项收件邮箱；使用 Speedrun/application form、官网团队 LinkedIn 或 warm intro,a16z Games Investment Team,a16z Games Fund One 为 $600M 专项游戏基金；a16z 总体为大型多阶段 VC 平台。,"投资/组合：Roblox, Discord, Sky Mavis, Singularity 6, Mainframe, Voldex, Voldex-like UGC/games deals","美国顶级 VC 的游戏专项平台，投资能力强，但对项目门槛和增长故事要求高。
如果 CPI/留存达到可融资阈值，可作为投资线高质量但高门槛对象。
可谈方向：股权投资；战略转介
建议：第二波投资线触达。需要更强的市场规模、团队叙事和数据可信度。"
AppLovin,info@applovin.com; sales@applovin.com; press@applovin.com; ir@applovin.com,AppLovin Team,纳斯达克上市广告技术公司；2025 年出售 apps/games business 给 Tripledot 后核心为 Axon/广告平台。,"AppDiscovery, MAX, Adjust, Wurl, Axon；原游戏资产包括 Lion Studios、Machine Zone、PeopleFun、Magic Tavern","已经不应被当作传统游戏发行商：2025 年出售游戏业务给 Tripledot 后，核心是广告技术和平台，但仍可能通过 Tripledot 股权与生态转介产生价值。
不是首选买方；更适合作为 UA、发行商转介或间接触达 Lion/Tripledot 的生态入口。
可谈方向：UA/增长合作；生态转介；间接投资/收购路径
建议：不作为纯发行买方优先触达；如有 AppLovin 关系，可请其转给 Tripledot/Lion。"
Scopely,未找到公开商务邮箱；使用官网 Contact 选择 Developer Partners,Scopely Corporate Development Team,2023 年 Savvy 以 $4.9B 收购；2025 收购 Niantic games business；美国移动游戏头部。,"MONOPOLY GO!, Star Trek Fleet Command, MARVEL Strike Force, Stumble Guys, Yahtzee with Buddies, Pokémon GO/Niantic games business","北美移动游戏绝对强势公司之一，地位明显高于三七互娱/益世界的类比层级；作为买方可试，但不应作为主要对标。
如果数据非常强，休闲冒险/模拟可作为其移动 F2P portfolio 延展；否则冷启动触达难度高。
可谈方向：收购；战略投资；发行/合作可能性低
建议：作为 stretch target。不要第一批消耗冷邮件，优先找 warm intro。"
Zynga / Take-Two Mobile,Press@zynga.com,Zynga Corporate Development Team,Take-Two 2022 以约 $12.7B 收购 Zynga；移动游戏大集团部门。,"FarmVille, Words With Friends, CSR Racing, Empires & Puzzles, Merge Dragons!, Toon Blast, Match Factory!","北美移动游戏巨头/大集团移动部门，地位高于三七互娱式对标；但有成熟移动发行、并购和 IP 资源。
对已验证美国市场的休闲/模拟 F2P 项目理论上相关，但外部项目冷启动门槛高。
可谈方向：收购；战略合作；发行可能性低
建议：作为 stretch target。除非有强引荐或数据很突出，否则排在 Tilting Point/Jam City 后。"
SciPlay / Light & Wonder,ir@lnw.com,SciPlay / Light & Wonder Corporate Development Team,Light & Wonder 2023 收购 SciPlay 剩余股权；SciPlay 曾为上市社交 casino 公司。,"Jackpot Party Casino, Quick Hit Slots, Gold Fish Casino, MONOPOLY Slots, Bingo Showdown, 88 Fortunes Slots","美国社交 casino 和 casual mobile 上市/集团型玩家，资金和运营能力强，但品类偏社交娱乐场。
Family Island 类游戏与其核心品类有距离，但休闲用户、LiveOps 和美国市场验证可作为切入点。
可谈方向：收购；战略投资；发行合作可能性中低
建议：第三波触达。除非游戏变现偏广告/社交 casino，否则优先级低于休闲模拟发行商。"
Lightspeed Gaming,mp-reception@lsvp.com; legal@lsvp.com,Lightspeed Gaming Investment Team,Lightspeed 为全球多阶段 VC，公开资料显示 backed 500+ companies，资金规模为数百亿美元级。,"投资/组合：Epic Games, Snap, Stability AI, Polygon, Alchemy, Multiverse, gaming/consumer portfolio","Lightspeed 的游戏投资线在北美有影响力；不是游戏发行商，但能做融资和高质量转介。
适合数据达到融资门槛、需要桥接资金和发行商网络时触达。
可谈方向：股权投资；战略转介
建议：第三波投资线。需要把 KPI 和资金用途压缩成 1-page investor memo。"
Sunblink,support@sunblink.com; sunblink@fortyseven.com,Sunblink Business Development Team,LinkedIn 显示 11-50 人；Boulder 小型 cozy/life-sim 工作室。,Hello Kitty Island Adventure,"小到中型工作室，因 Hello Kitty Island Adventure 在 cozy/life-sim 方向具备可比经验，但不是典型发行商。
玩法情绪和人群接近，适合行业交流、联合开发或转介绍，不适合作为主要收购买方。
可谈方向：联合开发；行业转介绍；小规模合作
建议：第三波触达。语气偏合作和交流，少谈急迫融资。"
Rogue Games,未找到公开邮箱；使用官网 Developer / BD / Media contact forms,Rogue Games Business Development Team,美国独立发行商；Steam/官网 portfolio 覆盖数十款 premium/indie titles。,"Dust & Neon, The Last Case of Benedict Fox, Wipeout Rush, Sprawl, Arcanium, Wonderputt Forever","美国独立发行商，覆盖 PC/console/mobile，但不是移动休闲头部。
如果项目可以包装为跨平台 cozy/adventure，可能有讨论空间；纯移动 F2P 买量能力需验证。
可谈方向：发行；联合开发；平台发行
建议：第三波触达。若游戏仍是纯移动 F2P，优先级低于 Tilting Point 和 Jam City。"
Galaxy Interactive,abuse@galaxy.com; media contact form,Galaxy Interactive Investment Team,Galaxy Interactive 公开披露 $650M AUM across two funds、75+ portfolio companies。,"投资/组合：Mythical Games, Genvid, Immutable, GreenPark, StockX, Bad Robot Games, 1047 Games","互动娱乐、游戏和数字资产相关投资平台，适合融资线补充。
不适合只谈发行；适合把项目作为互动娱乐/游戏团队融资机会递交。
可谈方向：股权投资；战略转介
建议：第三波投资线。若产品指标不错但缺少发行方，作为备选融资入口。"
Product Madness / Aristocrat,support@productmadness.com; mobile@productmadness.com,Product Madness / Aristocrat Team,Aristocrat 旗下全球 social casino mobile studio；公开招聘资料显示 550+ employees/501-1000 人级。,"Heart of Vegas, Cashman Casino, Lightning Link Casino, FaFaFa Gold, Big Fish Casino","Aristocrat 旗下社交 casino 移动游戏公司，资金和运营强，但品类偏差较大。
除非项目变现更偏广告/社交娱乐场用户，否则仅作为拓展名单。
可谈方向：收购；战略合作；发行可能性低
建议：第三波后段触达。话术重点放在美国用户验证和休闲运营，不要强调 farming sim。"
Armor Games Studios,未找到公开商务邮箱；使用官网 Contact/Publisher inquiry form,Armor Games Studios Publishing Team,老牌 web/indie 发行品牌；ArmorGames.com 长期运营，2024 年后 publishing team 状态需核验。,"Bear and Breakfast, The Last Stand: Aftermath, Soda Dungeon, GemCraft, Sonny, Infernax","美国独立游戏发行商，有 web/PC/console/mobile 历史，但不是移动买量发行商。
若游戏可转为 premium/cozy 或多平台体验，可能有发行讨论；纯 F2P 移动项目适配一般。
可谈方向：发行；平台合作；联合开发
建议：第三波触达。适合拿来拓展，但不是解决现金流的首要对象。"
GameMill Entertainment,未找到公开邮箱；使用官网 Developer Contact / Licensor Contact forms,GameMill Entertainment Publishing Team,官网披露 50+ years combined experience、millions of units sold、global publishing partner。,"Nickelodeon All-Star Brawl 2, Nickelodeon Kart Racers, Hot Wheels Monster Trucks, The Walking Dead Destinies, Avatar: The Last Airbender: Quest for Balance","美国授权/IP 游戏发行商，更多偏 console/PC/licensed games，不是典型移动休闲发行商。
除非项目可以绑定 IP 或多平台化，否则适配度一般。
可谈方向：发行；IP合作；项目合作
建议：第三波后段触达。可以作为 IP/发行资源补充。"
